Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
02-0148;RETTER RTX-2000 Werkstatt Set 35 Teile Schranksystem mit Massiv Holz Platte LED Beleuchtung  - 6026 x 2865 x 1956 x 565 mm;0;0;0;500;0051FF
6172200;Mobiler Portalkran 2000 kg - stabile und robuste Bauweise | Unicraft PK 2;0;0;0;173;0052FF
02-0177;RETTER RTJ1125 Lagerabzieher Satz 2+3-armig Innen Außen;35;35;10;11;0053FF
01-0052;RETTER Motoreinstellwerkzeug Set BMW M52 M54 M56;0;0;0;0;0054FF
02-0131;RETTER RTN-1486 Einlage / Maulschlüssel und Ringschlüssel (gekrüpft) 37 Teile;56,7;40,8;3,2;5;0055FF
02-0479;"RETTER Panzerschlauch 42 cm - Kompressor Ersatzteil 1-tlg. | 3/8"" - 1/2"" Auswahl";0;0;0;1;0056FF
4932471069;Milwaukee 3,0 AH M18 HIGH OUTPUT™ Akku;6;13,5;23;0,24;0057FF
02-0090;RETTE  RTA1003 Kolbenring Spannband Satz Kolbenringzange KFZ;0;0;0;5;0058FF
02-0062;RETTER RTH-2050A 2 Säulen Hebebühne 5.0 t Automatische Entriegelung Expert-Line;290;57;75;650;0059FF
02-0506;"Bit- und Steckschlüssel-Einsatz-Set 19-tlg. | 1/2"" Antrieb | E-Profil/T-Profil (Torx) - RETTER Handwerkzeug |  RTE0193";0;0;0;1,8;0060FF
02-0301;Gummikette Minibagger Kette 230x48x72;0;0;0;35;0061FF
01-0124;RETTER Gummiauflage für Hebebühne 18 x 12 x 8 cm;18;12;8;1;0062FF
6710015;18,0 kW Synchron-Stromerzeuger PTO 18 TA mit wartungsfreiem Zapfwellenantrieb;0;0;0;120;0063FF
02-0248-02-0047;Reifenmontier- und Wuchtmaschine SET | RETTER Profi Montiermaschine RT-706B Pro / WB-65B;0;0;0;345;0064FF
7520305;Tauchdruckpumpe für Klarwasser mit Start/Stopp-Automatik SPWP 1106A;0;0;0;10;0065FF
4932464571;Milwaukee VDE Kombizange 165 mm - optimale Kraftübertragung;4,5;17,5;29;1;0066FF
02-0209-19 mm;Schlagschrauber Nüsse Sechskant Nuss Schlagnuss | 17mm / 19mm / 21mm | 1/2 Zoll 19 mm;0;0;0;0,1;0067FF
02-0198;"Sechskant Bit-Einsatz-Satz | 30- tlg. | 12,5 mm (1/2"") | CV-Stahl RETTER RTD1154";0;0;0;8;0068FF
02-0409;RETTER Auto Öleinfülltrichter-Kit RTJ1260 mit Klemme;0;0;0;1;0069FF
02-0189;12-tlg. Gelenk-Ratschenschlüssel Satz I Set 8-19 mm Gabelschlüssel-Ringmaul-Schlüssel-Set;0;0;0;5;0070FF
4933464823;Akku-Baustrahler 12V - Standlicht LED mit 1400 Lumen| Milwaukee - M12 SAL-0;109,3;12;8,8;4;0071FF
02-0140;RETTER RTN-1324 Einlage / T-Griff Sechskant Satz 10 Teile;56,7;40,8;3,2;9;0072FF
04-0009;Transformator 150VA - Hebebühnen-Ersatzteil;0;0;0;1;0073FF
01-0100;Werkzeugkasten 86 tlg. Werkzeugset 5 Fächer Stahl;0;0;0;1;0074FF
03-0007;XN0006 Rechen-Aufsatz für Minibagger;45;40;10;30;0075FF
250x52.5x73N;Gummikette Minibagger Kette 250x52.5x73N;0;0;0;35;0076FF
6150500;Scherenhubtischwagen mit 500 kg Tragkraft;95;53;40;87;0077FF
02-0318;Ring Maulschlüssel Satz 34-50 mm - 6 tlg.;45;10;10;8;0078FF
02-0061;"RETTER RT1102 Schlagschrauber 1/2"" Mini Hochleistungs-Druckluft-Schlagschrauber 1.300 Nm";0;0;0;1,2;0079FF
01-0109;RETTER 22- tlg. Set Ratschenschlüssel 6-32mm Gabel- Ringmaulschlüssel RT-E1195;0;0;0;5;0080FF
6212075;Hydraulischer Profi Getriebeheber 750 kg Tragkraft | stufenlos höhenverstellbar und robust - Unicraft GH 750 TOP;104;28;19;32;0081FF
02-01331;Palettengabel - Zubehör für Minidumper XN800 – passend für KOOP 1-Zylinder und 3-Zylinder Dieselmotor;0;0;0;30;0082FF
01-0019;RETTER RTJ0002 Hydraulischer Lagerabzieher Satz 10.000 kg;45;40;10;8;0083FF
02-0125;RETTER RTN-1479 Einlage / Zange und Hammer Satz 18 Teile;56,7;40,8;3,2;5;0084FF
04-0002;Flüster-Kompressor Ersatzteile | Motor 1500W 220V / 380V 1500W (2PS)  280L/min / 60dB;0;0;0;16;0085FF
4932464570;Milwaukee VDE Kraftseitenschneider 200 mm;34,2;17,4;5;0,36;0086FF
02-0105-1-2-;"3-Wege-Rückschlagventil Außengewinde  1 tlg - Flüsterkompressor Ersatzteil 1/2""";0;0;0;0,5;0087FF
300x55x74;Gummikette Minibagger Kette 300x55x74;0;0;0;36;0088FF
02-0057;RS1 Werkzeugwagen Edelstahl Workstation mit 15 Schubladen;198,5;49;95;130;0089FF
02-0394;RETTER 20 tlg. 1/2' Schlagschrauber Nüsse Set, 10-24 mm | Cr-Mo Sechskant - RT-E1501;0;0;0;7;0090FF
02-0082;Werkzeugwagen R7 mit Werkzeug 310-tlg. | 7 Schubladen - RETTER Werkstattwagen Panzer Edition;71;46;100;97,5;0091FF
02-0421;Gabelringschlüssel 52 - 62 mm | RETTER;0;0;0;1;0092FF
6520002;"Unicraft Gasschlauch 1,5 m / Gewinde ¼""-¼"" - Gasheizgerät Zubehör";0;0;0;1;0093FF
02-0500;"RETTER 6"" Kolbenringspannband 60-175 mm - RTA1002";0;0;0;0,75;0094FF
02-0387;RETTER RT3064 Injektor-Reinigungsset für Fahrzeugpflege - 14 tlg.;28;22;6;1;0095FF
4932479074;Milwaukee Thermosbecher 591 ml - PACKOUT™ Zubehör;14;25;24;1;0096FF
02-0101;Sieblöffel - 400 mm Gitterlöffel - Mini Bagger Spezialanbaugerät;0;0;0;31;0097FF
02-0150;"RETTER RT9033 Schlagschrauber 1/2"" max. Löse-Drehmoment 1200Nm Hochleistung Schlagschrauber";0;0;0;1,2;0098FF
4932472073;Milwaukee M18 DFC Zweifach-Schnellladegerät zeitgleiches Laden mit je 6A;22,7;14;7,5;0,32;0099FF
6201511;Motorrad-Montageständer 200 kg Tragkraft für das Hinterrad - Unicraft MMS-H 200;0;0;0;11;0100FF
01-0076;RETTER ATV - MINI Sport Quad 1060W 48V Differential;0;0;0;0;0101FF
4933451391;Milwaukee 18V Akku-Stichsäge M18 BJS - ohne Akku;49,3;25,5;39;10;0102FF
02-0340-230 Volt;RETTER 2 Säulen Hebebühne 4.000 kg - Automatische Entriegelung EAG4000 230 Volt;235;56;75;540;0103FF
02-0233;Pocket DeLux und X-Lux Wireless LED Werkstattlampen & Induktionsladepad;0;0;0;0;0104FF
6706100;Stromerzeuger Unicraft PG-E 100 TEA | 3,68 / 11,0 kW;0;0;0;180;0105FF
02-0247-Alu - Wagenheber 3.500kg;Wagenheber Alu - besonders leicht mit integrierter Schraubenablage Alu – Wagenheber 3.500kg;0;0;0;12;0106FF
4933478601;Akku-Blindnietgerät 18 V im HD Box - 4,8 mm bis 7,0 mm schnelles und einfaches Nieten | Milwaukee - M18 ONEFPRT-0X;18,4;10,2;26;3,5;0107FF
02-0213;"Druckluft-Ratschenschrauber | 12,5 mm (1/2"") | 102 Nm";0;0;0;1,4;0108FF
02-0330;KFZ Innenlager Abzieher Satz mit Gleithammer 5-tlg. | RETTER Spezialwerkzeug - RTJ1009;0;0;0;3;0109FF
01-0086;RETTER RTK 9181 Wagenheber 4 t Doppelkolben Hydraulik 75mm - 620 mm Extra Flach;102;41;21;31;0110FF
6300020;Hydraulische Werkstattpresse 20 Tonnen - WPP 20 E;0;0;0;138;0111FF
7520110;Tauchwasserpumpe für Klarwasser mit Start/Stopp-Automatik SCWP 7014A;0;0;0;6;0112FF
01-0020;RETTER RT-FW3500 Profi Scherenhebebühne 3.5 t - Unterflur Einbau 380V 16A;160;60;80;675;0113FF
02-0355;RETTER Reifenmontiermaschine Kippsäule - Doppel Hilfsarm RT-706D 2Pro RETTER PROFI;125;92;95;225;0114FF
4933480115;Akku-Astschere M12™;115,9;26,3;23,3;6,99;0115FF
180x72x40;Gummikette Minibagger Kette 180x72x40;0;0;0;34;0116FF
02-0081;KW PKW Werkstatt Rangierwagenheber Heber pneumatisch hydrauli. 22.0 t;0;0;0;31;0117FF
4933498065;Akku-Multitool 18 V mit LED-Beleuchtung | Milwaukee FUEL™ - M18 FMT-0;46,5;25,3;28,6;7,45;0118FF
02-0320-1-4-Zoll-Abtrieb;"Umschaltknarre Ratschen 1/4"" Zoll Abtrieb";0;0;0;0,5;0119FF
02-0113;RETTER Sicherungsringzange 17 cm für Außenringe, gerade;0;0;0;0;0120FF
KD1835;Inverter MIG / MAG + MMA + WIG-LIFT KD1835;0;0;0;20;0121FF
4932464955;Rasentrimmer-Aufsatz QUIK-LOK™;27,5;72,2;26,6;8,98;0122FF
02-0044-230 Volt;RETTER Mobile Scherenhebebühne Inkl. Mobil-Kit RT-3010A 230 Volt;230;178;51;650;0123FF
02-0279;Torx Vielzahn Sechkant  Combo Paket Bit Satz 88 tlg.;0;0;0;12;0124FF
02-0489;RETTER T-Stück - Ersatzteil für Kompressoren - RT3100, RT4200;0;0;0;1;0125FF
6531050;Unicraft DHG 50 K - Dieselheizgerät mit Kamin zur Abgasabführung - 50 kW Leistung;127,5;50,5;79,5;65;0126FF
02-0026;RETTER 2 Säulen Hebebühne 4.2 t - barrierefrei - Profi Line Retter L24CE-1;299;54;101;660;0127FF
BASE-3-400V-10 bar;Effizienter Schraubenkompressor SCC: BASE Mini Serie 2,2-3 kW Leistung und 8-10 bar Druck BASE 3 (400V) - 3 kW 10 bar;88;53;88;180;0128FF
02-0220;Splinttreibersatz 6-tlg. aus Chrom-Vanadium Stahl, Splinttreiber gehärtet 1.5, 3, 4, 5, 6, 8 mm - RTZ 5597;0;0;0;0;0129FF
6300031;Hydraulische Werkstattpresse 30 Tonnen - WPP 30 EF;192;78;27;203;0130FF
02-0077;RETTER RTA2016 Motoreinstellwerkzeug Zahnriemen VAG - VW - AUDI;50;25;10;6;0131FF
191167342;Werkbank Siegmund inkl. Werkzeug-Set - Traglast ca. 1000kg;0;0;0;186;0132FF
4933447285;Milwaukee M18 BSX-402C | Akku - Säbelsäge;59,8;27;134;35,11;0133FF
02-0521;Auto Lackpflege & Innenraum SET 3-tlg. | Autoreinigung - X-CLEAN | Pflegeset - APX-2;0;0;0;2;0134FF
02-0168;Wechselstrom Kombiinstrument - Kältemittel R134A R410A R22;0;0;0;5;0135FF
6201410;Hydraulischer Getriebeheber 500 kg Tragkraft | stufenlos höhenverstellbar und robust - Unicraft GH 505;110;32;21,5;40;0136FF
02-0476;Ersatz-Magnetzylinder für ölfreien Flüsterkompressor 380V - Magnetventil und Zubehör;0;0;0;1;0137FF
02-0372;RETTER Schlagschrauber-Nuss 9-tlg Set 1 Zoll | Sechskant 22-55 mm | RT-E1504;0;0;0;7;0138FF
02-0503;Einstellwerkzeug-Set 26-tlg. | BMW Benzinmotoren N42, N46, B18/-A, B20/-A/-B | RETTER Spezialwerkzeug Motor - RTA2323;0;0;0;7,3;0139FF
5960702;Wippkreissäge Brennholzsäge Sägeblatt ? 700 mm;0;0;0;95;0140FF
2028760;Stationärer vertikaler 270l Kolbenkompressor Riemenantrieb AIRSTAR 853/270/ 10V ohne AD 2000;72;72;177;180;0141FF
02-0201;4 Säulen Hebebühne Parkbühne Vier-Säulen-Hebebühne – Elektrohydraulische 4-Säulen-Hebebühne mit automatischer Sicherheitsentriegelung 3700kg inkl. Mobil-Kit Retter RT-P3700;420;55;70;624;0142FF
02-0170;RETTER LED Akku 7,4V Motorraumleuchte - 120 LEDs RTS0211;0;0;0;5;0143FF
6220080;Teilewaschgerät 80 L Volumen | 20 kg Maximalgewicht | TWG 80 - Unicraft;79;55;32;26;0144FF
02-0159;Sandstrahler Standgeräte - Düsen 4/5/6/7mm 19WT0313;0;0;0;99;0145FF
4933479859;Milwaukee M18 FPD3 Akku-Schlagbohrschrauber - ohne Akku;24,5;48,5;38;8,65;0146FF
02-0241;12-tlg. Gelenk-Ratschenschlüssel Satz I Set 8-22 mm Gabelschlüssel-Ringmaul-Schlüssel-Set;0;0;0;0;0147FF
04-0005;RETTER Kolben-Kompressor RT4100 Ersatz-Motor 4 PS;0;0;0;16;0148FF
02-0019;Bauschaum Universal - FM320 MULTI FOAM | Polyurethanschaum;0;0;0;0,75;0149FF
4932464567;Milwaukee Seitenschneider 160 mm - 1000V VDE geprüft;4;5;29;1;0150FF
02-0253;RETTER Werkstatteinrichtung Set 13 Teile Edition Schranksystem RTX-0600;259,2;45,8;183;285;0151FF
4933478449;"Milwaukee M18 FUEL™ Akku-Schlagschrauber 1/2"" Vierkant Sprengring FMTIW2F12 - ohne Akku";25,7;70,4;48,2;16,58;0152FF
01-0045;5,0 kW Stromaggregat Diesel Einphasengenerator - Silent JD6000SE-1;0;0;0;170;0153FF
6530030;Unicraft DHG 30 Dieselheizgerät - 30 kW Leistung;90,5;42;49;23,4;0154FF
02-0040;Pneumatischer Wagenheber 3.0 t | 3 Luftkissen | Hub 140-400 mm;0;0;0;22;0155FF
6300021;Hydraulische Werkstattpresse 20 Tonnen - WPP 20 EF;174;72,5;27;139;0156FF
02-0043-400V;RETTER Ein-Säulen-Hebebühne RTH-1100 Ultraflach 400 Volt;265;155;100;950;0157FF
02-0206;Universal 19 tlg. Steckschlüsselsatz metrische zöllige Außen-Torx - RTE0949;0;0;0;2;0158FF
4933471699;"Milwaukee Akku-Winkelschlagschrauber 1/2"" Vierkant mit Sprengring - M12 FRAIWF12-0 FUEL™";7,5;21;19;2;0159FF
04-0001;Flüster-Kompressor Ersatzteile Set Pumpe 850 W 230V;25;15;20;10;0160FF
02-0540;"Rohrzangen-Set 3-tlg. verstellbares Design, ergonomisch und robust - 14"", 18"" und 24"" - RT-H1130";0;0;0;3;0161FF
02-0421-52 mm;Gabelringschlüssel 52 - 62 mm | RETTER 52 mm;0;0;0;1;0162FF
02-0032;RETTER RTX-1000 Werkstatt Set 16 Teile Deluxe Edition Schranksystem mit Massiv-Holzplatte;0;0;0;600;0163FF
7560030;Wasserschlauchaufroller mit Aufroll-Automatik, komfortabel zu bedienen WSAR 30;0;0;0;11;0164FF
1081253;MIG/MAG Schutzgas-Schweißgerät EASY-MAG 253-4;0;0;0;0;0165FF
02-0107;RETTER Spitzzange 17 cm ergonomisch, langlebig;0;0;0;0;0166FF
230x72x50;Gummikette Minibagger Kette 230x72x50;0;0;0;33;0167FF
02-0367;RETTER Schwerlastregal Regalsystem 200x200cm / 50cm tief mit 4 Ebenen inkl.;180;70;90;55;0168FF
4933459797;"Milwaukee 12V Akku-Ratsche 3/8"" M12FIR38-0";15,3;9;22,7;3;0169FF
4932498542;Milwaukee Wasserpumpenzange 250 mm;26,9;6,5;3,3;0,24;0170FF
4060200;für WPP 200 VH und RFP 200 und WPP 200 RT Prismenblock-Set;152;559;305;725;0171FF
300x55x82;Gummikette Minibagger Kette 300x55x82;0;0;0;35;0172FF
4932492464;Milwaukee Kraft-Seitenschneider 200 mm;24;6,5;2,8;0,2;0173FF
02-0094;RS3 Werkzeugwagen 14 Schubladen;102;46;102;65;0174FF
02-0456-1;RETTER Stabiler Aufbewahrungsschrank 920 x 420 x 1950 mm - Werkstattschrank;92;42;195;39;0175FF
02-0393;RETTER RT-4P3700H Doppel-Vier-Säulen-Hebebühne – Elektrohydraulische 4-Säulen-Hebebühne mit automatischer Sicherheitsentriegelung, PKW & Transporter-Hebebühne;525;75;75;730;0176FF
6520003;"Unicraft Gasschlauch 1,5 m / Gewinde ¼""-3/8"" - Gasheizgerät Zubehör";0;0;0;1;0177FF
02-0253-ohne Werkstattwagen;RETTER Werkstatteinrichtung Set 13 Teile Edition Schranksystem RTX-0600 ohne Werkstattwagen;259,2;45,8;183;275;0178FF
02-0035;RETTER RT-2800S Scherenhebebühne 2.8 t & Mobil-Kit - Spengler Stromanschluss 380V / 220V optional erhältlich;203;108;51;500;0179FF
02-0483;RETTER Hammer Meißel-Satz in Schaumstoffeinlage RTN2237 - 19 tlg.;56,7;40,8;3,2;11;0180FF
4933451423;Milwaukee M18 NRG-503;0;0;0;10;0181FF
20643;"Kraft Steckschlüssel Einsätze 12,5 (1/2"" Zoll) 10-32 mm";0;0;0;0;0182FF
01-0077;RETTER ATV - Miniquad Elektro 36V/1000W ROT;0;0;0;0;0183FF
04-0002-220 Volt;Flüster-Kompressor Ersatzteile | Motor 1500W 220V / 380V 1500W (2PS)  280L/min / 60dB 220 Volt;0;0;0;16;0184FF
01-0088;"KW1307 Druckluft Ratschenschrauber 6,3 3/8"" Druckluft Ratschenschlüssel";0;0;0;0;0185FF
02-0022;RETTER Pneumatischer Luft-hydraulischer 100 Tonnen LKW-Wagenheber | RETTER - RT-100T;0;0;0;75;0186FF
01-0020-380V;RETTER RT-FW3500 Profi Scherenhebebühne 3.5 t - Unterflur Einbau 380V 16A;160;60;80;900;0187FF
02-0096;"RETTER RTD1155  – 32-tlg. Bit-Einsatz-Set mit 1/2"" Schlagbits, gehärtet, Torx";39;8;20;3,5;0188FF
02-0047;RT-WB-65B Reifenwuchtmaschine Vollautomatisch;98;66;114;115;0189FF
4933464405;Akku-Nietwerkzeug 12 V - inkl. 2.0 Ah Akku und Schnellladegerät im HD Box | Milwaukee - M12 BPRT-201X;21;7,5;20;5;0190FF
6150104;Scherengabelhubwagen elektro-hydraulischer Hebevorrichtung 1.000 Kg Tragkraft;0;0;0;150;0191FF
4933478296;Milwaukee ONE KEY Akku-Säbelsäge M18 ONEFSZ  - ohne Akku;81;57;47,7;25,46;0192FF
7523105;Tiefbrunnenpumpe für Klarwasser mit Start/Stopp-Automatik DWP 1106A;0;0;0;15;0193FF
02-0283;"Premium Drehmomentschlüssel 42 bis 210 Nm 1/2""";0;0;0;8;0194FF
02-0452;Elektro-hydraulische Motorrad-Scherenhebebühne mit schneller Entriegelung - 700 kg;220;72;30;360;0195FF
###############################################################################################################################################################################################################################################################;Hauswasserwerk mit Vorfilter und Digitalanzeige DWS 1105;0;0;0;14;0196FF
02-0118;RETTER RTN-1341C Einlage / Socket 80 Teile Carbon Edition;56,7;40,8;3,2;9;0197FF
02-0493;RETTER Motorhaubenleuchte mit LED und Befestifung | RT-BQ003;0;0;0;3;0198FF
02-0510;5,5 PS Elektromotor 3000 U/min  - 4 kW Wechselstrommotor für RETTER Kolben Kompressoren: RT3200 Pro und RT5100;0;0;0;45;0199FF
N13-263;Pritschenanhänger gebremst - Zweiachs Hochlader 1300kg | Universal Trailer Bordwände abklappbar;383;153;112;326;0200FF
7201436;Einscheibenmaschine OSM 431 - Orbital Arbeitsbreite Bürsten 430mm;0;0;0;70;0201FF
02-0010;RETTER RT1065 Flüster Kompressor 65 L / 8 Bar;74;32;65;60;0202FF
7520100;Tauchpumpe SCWP 7514 für Klarwasser mit Kunststoffgehäuse;0;0;0;0;0203FF
02-0337;Universal Injektor Reinigung Satz 21-tlg. - RTA3045;30;25;7;2,5;0204FF
02-0248-SET;RT-706B Pro Reifenmontiermaschine - SET Auswahl Wuchtmaschine;125;95;95;210;0205FF
02-0469;Kettenbagger 2.5 T - Bagger 21 PS Diesel;395;150;250;2500;0206FF
02-0420;"RETTER 3/4"" Schlagschrauber Verlängerung Cr-Mo 200 mm";0;0;0;1;0207FF
03-0014;Mini-Bagger Rhinoceros KS12-9 - 14 PS, 3 Zylinder KUBOTA Motor inkl. Schaufelpaket - 380 mm, Schnellwechsler, Hydraulischen Daumen Greifer;240;100;234;1200;0208FF
7500080;Frischwasserpumpe  leistungsstark und zuverlässig FWP80;0;0;0;26;0209FF
02-0460;RETTER Stahlfelgen 5 - 30g Sortiment - Auswuchtgewichte 225 tlg - RTZ9188;0;0;0;3,38;0210FF
02-0440;Hydraulikfilter - Ölfilter | XN10;0;0;0;1;0211FF
02-0260-SET;RETTER Mobiler Werkzeugwagen RS12 - 1110 x 751 x 986 mm inkl. Holz-Arbeitsplatte mit Werkzeug;111;75,1;98,6;141;0212FF
02-0228;Werkzeugwagen R10 mit Werkzeug 394-tlg. | 8 Schubladen - RETTER Werkstattwagen Black Edition;78;47;98;89;0213FF
01-0075;ATV - Miniquad  49 cm / 2 Takt / 3 Farben;109;67;69;40;0214FF
02-0487;RETTER Ölverschluss - Ersatzteil für Kolbenkompressor RT4100;0;0;0;1;0215FF
BASE-2-400V-10 bar;Effizienter Schraubenkompressor SCC: BASE Mini Serie 2,2-3 kW Leistung und 8-10 bar Druck BASE 2 (400V) - 2,2 kW 10 bar;88;53;88;145;0216FF
02-0074;RETTER RTA2154 Motoreinstellwerkzeug Nockenwellen Arretierung Set;35;35;10;10;0217FF
02-0525;RETTER 1/4'' Druckregler mit Manometer - Kompressor Ersatzteil RT4200, RT3100, RT2100;0;0;0;1;0218FF
02-0499;Glühkerzen-Ausbau- und Gewinde-Reparatur-Satz | M8-M10 Ausbohrwerkzeug 16-tlg. - RTA46017;0;0;0;2;0219FF
02-0284;RETTER 1/2 Schlagschrauber 1600Nm Set inklusive Nüsse Set;0;0;0;5;0220FF
02-0018;RETTER Reifenmontagemaschine Multitalent RT-706E Pro - 380V;125;92;95;249;0221FF
02-0338;RT1090 Flüster Kompressor 100 L / 8 Bar - 4 PS;51;51;110;66;0222FF
02-0017-220V;RETTER Zwei-Säulen-Hebebühne Profi-Line RH-B4000ES 220 Volt;292;44;90;645;0223FF
